DATA,DESCRIÇÃO,DOCUMENTO,CRÉDITO,DÉBITO,SALDO,Categoria_Prevista,Categoria_Prevista_Nome
1/4/2022,pg pinternet white martins,10.002.006,,"-R$ 30,90 "," R$ 16.284,18 ",2,Despesas Diversas
1/4/2022,pg pinternet med curitiba,10.001.995,,"-R$ 100,00 "," R$ 16.184,18 ",8,Saúde
1/4/2022,pg pinternet springer carrier,10.002.010,,"-R$ 358,91 "," R$ 15.825,27 ",5,Equipamentos
1/4/2022,credito ted pagseguro internet ltda,33.834.846," R$ 846,95 ",," R$ 16.672,22 ",9,Seguros
1/7/2022,pg pinternet aluguel,10.005.388,,"-R$ 3.046,25 "," R$ 13.625,97 ",0,Aluguel
1/10/2022,prest emprest,8,,"-R$ 1.418,47 "," R$ 12.207,50 ",4,Empréstimos
1/10/2022,db allianz seguro spin de,84624000166,,"-R$ 144,05 "," R$ 12.063,45 ",9,Seguros
1/11/2022,credito ted pagseguro internet ltda,33.655.713," R$ 1.449,70 ",," R$ 13.513,15 ",9,Seguros
1/17/2022,db cotas,19.911,,"-R$ 59,50 "," R$ 13.453,65 ",2,Despesas Diversas
1/17/2022,credito ted pagseguro internet ltda,16," R$ 1.517,30 ",," R$ 14.970,95 ",9,Seguros
1/21/2022,credito ted pagseguro internet ltda,34.071.140," R$ 696,85 ",," R$ 15.667,80 ",9,Seguros
1/24/2022,credito ted pagseguro internet ltda,33.887.899," R$ 807,33 ",," R$ 16.475,13 ",9,Seguros
1/24/2022,pg pinternet cargobr interm e agenc neg s a,10.004.082,,"-R$ 92,52 "," R$ 16.382,61 ",2,Despesas Diversas
1/25/2022,pg pinternet med curitiba,10.003.015,,"-R$ 100,00 "," R$ 16.282,61 ",8,Saúde
1/25/2022,pg pinternet detran taxa licenciamento,10.003.039,,"-R$ 86,50 "," R$ 16.196,11 ",6,Impostos e Taxas
1/25/2022,pg pinternet detran taxa licenciamento,10.003.169,,"-R$ 86,50 "," R$ 16.109,61 ",6,Impostos e Taxas
1/26/2022,credito ted pagseguro internet ltda,33.979.580," R$ 264,30 ",," R$ 16.373,91 ",9,Seguros
1/27/2022,credito ted pagseguro internet ltda,33.991.869," R$ 1.861,80 ",," R$ 18.235,71 ",9,Seguros
1/31/2022,pg pinternet vt luiz e guilherme,10.000.226,,"-R$ 380,63 "," R$ 17.855,08 ",11,Transporte
1/31/2022,credito ted pagseguro internet ltda,34.538.571," R$ 863,14 ",," R$ 18.718,22 ",9,Seguros
2/2/2022,credito ted pagseguro internet ltda,34.042.829," R$ 1.666,76 ",," R$ 20.384,98 ",9,Seguros
2/3/2022,credito ted pagseguro internet ltda,33.928.947," R$ 1.132,17 ",," R$ 21.517,15 ",9,Seguros
2/4/2022,pg pinternet darf irrf,10.003.709,,"-R$ 18,88 "," R$ 21.498,27 ",6,Impostos e Taxas
2/4/2022,pg pinternet conta de agua,10.007.295,,"-R$ 154,06 "," R$ 21.344,21 ",2,Despesas Diversas
2/7/2022,credito ted pagseguro internet ltda,33.004.134," R$ 220,89 ",," R$ 21.565,10 ",9,Seguros
2/7/2022,pg pinternet white martins,10.007.653,,"-R$ 30,90 "," R$ 21.534,20 ",2,Despesas Diversas
2/7/2022,pg pinternet aluguel,10.007.709,,"-R$ 3.391,15 "," R$ 18.143,05 ",0,Aluguel
2/7/2022,pg pinternet refrigeracao dufrio,10.007.787,,"-R$ 376,13 "," R$ 17.766,92 ",2,Despesas Diversas
2/7/2022,pg pinternet springer carrier,10.007.729,,"-R$ 294,52 "," R$ 17.472,40 ",5,Equipamentos
2/7/2022,pg pinternet ciee estagiario gabriel,10.007.890,,"-R$ 396,36 "," R$ 17.076,04 ",3,Educação
2/9/2022,pg pinternet red s a fresnomaq wap,10.003.308,,"-R$ 220,26 "," R$ 16.855,78 ",2,Despesas Diversas
2/9/2022,pg pinternet springer carrier,10.003.419,,"-R$ 105,82 "," R$ 16.749,96 ",5,Equipamentos
2/9/2022,credito ted pagseguro internet ltda,33.986.427," R$ 2.896,89 ",," R$ 19.646,85 ",9,Seguros
2/10/2022,prest emprest,7,,"-R$ 1.418,47 "," R$ 18.228,38 ",4,Empréstimos
2/10/2022,db allianz seguro spin de,84624000166,,"-R$ 144,05 "," R$ 18.084,33 ",9,Seguros
2/15/2022,db cotas,19.911,,"-R$ 59,50 "," R$ 18.024,83 ",2,Despesas Diversas
2/15/2022,pg pinternet carto inter,10.007.750,,"-R$ 2.198,74 "," R$ 15.826,09 ",2,Despesas Diversas
2/18/2022,credito ted pagseguro internet ltda,33.796.704," R$ 1.526,56 ",," R$ 17.352,65 ",9,Seguros
2/22/2022,credito ted pagseguro internet ltda,33.005.336," R$ 881,09 ",," R$ 18.233,74 ",9,Seguros
2/22/2022,pg pinternet net fone,10.002.866,,"-R$ 139,88 "," R$ 18.093,86 ",1,Contas de Consumo
2/22/2022,pg pinternet copel fibra,10.002.877,,"-R$ 149,90 "," R$ 17.943,96 ",2,Despesas Diversas
2/22/2022,pg pinternet celular,10.002.900,,"-R$ 64,98 "," R$ 17.878,98 ",1,Contas de Consumo
2/22/2022,pg pinternet celular,10.002.908,,"-R$ 54,99 "," R$ 17.823,99 ",1,Contas de Consumo
2/22/2022,pg pinternet springer carrier,10.002.925,,"-R$ 69,25 "," R$ 17.754,74 ",5,Equipamentos
2/24/2022,pg pinternet fresnomaq wap,10.001.606,,"-R$ 292,81 "," R$ 17.461,93 ",2,Despesas Diversas
2/25/2022,credito ted pagseguro internet ltda,34.109.324," R$ 595,26 ",," R$ 18.057,19 ",9,Seguros
2/25/2022,pg pinternet vt luiz,10.006.946,,"-R$ 245,63 "," R$ 17.811,56 ",11,Transporte
2/25/2022,pg pinternet med curitiba,10.006.956,,"-R$ 283,00 "," R$ 17.528,56 ",8,Saúde
3/2/2022,credito ted pagseguro internet ltda,33.146.391," R$ 2.625,04 ",," R$ 20.153,60 ",9,Seguros
3/2/2022,pg pinternet springer carrier,10.009.925,,"-R$ 26,00 "," R$ 20.127,60 ",5,Equipamentos
3/2/2022,pg pinternet springer carrier,10.011.744,,"-R$ 123,88 "," R$ 20.003,72 ",5,Equipamentos
3/2/2022,pg pinternet springer carrier,10.011.751,,"-R$ 69,30 "," R$ 19.934,42 ",5,Equipamentos
3/2/2022,pg pinternet white martins,10.011.758,,"-R$ 30,90 "," R$ 19.903,52 ",2,Despesas Diversas
3/4/2022,credito ted pagseguro internet ltda,34.161.234," R$ 440,24 ",," R$ 20.343,76 ",9,Seguros
3/7/2022,pg pinternet pagamento aluguel,10.011.568,,"-R$ 3.391,15 "," R$ 16.952,61 ",0,Aluguel
3/8/2022,pg pinternet ciee estagiario gabriel,10.001.942,,"-R$ 396,36 "," R$ 16.556,25 ",3,Educação
3/8/2022,pg pinternet springer carrier,10.001.956,,"-R$ 294,51 "," R$ 16.261,74 ",5,Equipamentos
3/8/2022,credito ted pagseguro internet ltda,34.191.935," R$ 468,13 ",," R$ 16.729,87 ",9,Seguros
3/9/2022,credito ted picpay servicos s a,33.693.223," R$ 528,70 ",," R$ 17.258,57 ",7,Pagamentos e Créditos
3/10/2022,prest emprest,7,,"-R$ 1.418,47 "," R$ 15.840,10 ",4,Empréstimos
3/10/2022,db allianz seguro spin de,84624000166,,"-R$ 144,05 "," R$ 15.696,05 ",9,Seguros
3/14/2022,cr apl rdcpos,153," R$ 1.500,00 ",," R$ 17.196,05 ",2,Despesas Diversas
3/14/2022,debito pix leonardo compra moto,78.299.960,,"-R$ 16.000,00 "," R$ 1.196,05 ",2,Despesas Diversas
3/14/2022,pix transf pagador,78.299.960,,"-R$ 4,99 "," R$ 1.191,06 ",2,Despesas Diversas
3/15/2022,db cotas,19.911,,"-R$ 59,50 "," R$ 1.131,56 ",2,Despesas Diversas
3/16/2022,credito ted pagseguro internet ltda,34.156.294," R$ 192,22 ",," R$ 1.323,78 ",9,Seguros
3/23/2022,pg pinternet springer carrier,10.000.867,,"-R$ 266,95 "," R$ 1.056,83 ",5,Equipamentos
3/23/2022,pg pinternet copel fibra,10.000.905,,"-R$ 149,90 "," R$ 906,93 ",2,Despesas Diversas
3/23/2022,pg pinternet fresnomaq wap,10.000.881,,"-R$ 218,94 "," R$ 687,99 ",2,Despesas Diversas
3/23/2022,pg pinternet net fone,10.000.893,,"-R$ 148,21 "," R$ 539,78 ",1,Contas de Consumo
3/23/2022,pg pinternet celular,10.000.914,,"-R$ 64,98 "," R$ 474,80 ",1,Contas de Consumo
3/23/2022,pg pinternet springer carrier,10.000.949,,"-R$ 183,61 "," R$ 291,19 ",5,Equipamentos
3/23/2022,pg pinternet springer carrier,10.000.938,,"-R$ 69,24 "," R$ 221,95 ",5,Equipamentos
3/23/2022,credito pix hdi seguros s a reembolso moto nf e,81.010.391," R$ 8.841,87 ",," R$ 9.063,82 ",9,Seguros
3/24/2022,pg pinternet celular,10.001.060,,"-R$ 54,99 "," R$ 9.008,83 ",1,Contas de Consumo
3/28/2022,credito ted pagseguro internet ltda,33.029.925," R$ 1.983,80 ",," R$ 10.992,63 ",9,Seguros
3/28/2022,credito ted picpay servicos s a,33.975.373," R$ 0,02 ",," R$ 10.992,65 ",7,Pagamentos e Créditos
3/29/2022,pg pinternet vale transporte luiz,10.001.180,,"-R$ 255,63 "," R$ 10.737,02 ",11,Transporte
3/29/2022,pg pinternet conselho regional dos tecnicos,10.001.201,,"-R$ 297,95 "," R$ 10.439,07 ",2,Despesas Diversas
3/29/2022,pg pinternet med curitiba,10.001.191,,"-R$ 120,00 "," R$ 10.319,07 ",8,Saúde
3/29/2022,pg pinternet engmec distribuicao,10.001.210,,"-R$ 290,40 "," R$ 10.028,67 ",2,Despesas Diversas
3/29/2022,pg pinternet taxa de corpo de bombeiros,10.001.340,,"-R$ 107,66 "," R$ 9.921,01 ",6,Impostos e Taxas
3/31/2022,credito ted pagseguro internet ltda,34.502.289," R$ 1.453,54 ",," R$ 11.374,55 ",9,Seguros
4/1/2022,pg pinternet springer carrier,10.002.157,,"-R$ 335,09 "," R$ 11.039,46 ",5,Equipamentos
4/1/2022,pg pinternet conta de agua,10.002.202,,"-R$ 159,85 "," R$ 10.879,61 ",2,Despesas Diversas
4/1/2022,pg pinternet white martins,10.002.180,,"-R$ 30,90 "," R$ 10.848,71 ",2,Despesas Diversas
4/1/2022,pg pinternet engmec distribuicao,10.002.228,,"-R$ 290,40 "," R$ 10.558,31 ",2,Despesas Diversas
4/1/2022,credito ted pagseguro internet ltda,33.998.000," R$ 758,68 ",," R$ 11.316,99 ",9,Seguros
4/7/2022,credito ted pagseguro internet ltda,33.810.910," R$ 1.386,33 ",," R$ 12.703,32 ",9,Seguros
4/7/2022,pg pinternet ciee estagiario gabriel,10.002.783,,"-R$ 396,36 "," R$ 12.306,96 ",3,Educação
4/7/2022,pg pinternet pagamento aluguel,10.002.838,,"-R$ 3.391,15 "," R$ 8.915,81 ",0,Aluguel
4/7/2022,pg pinternet springer carrier,10.002.859,,"-R$ 89,24 "," R$ 8.826,57 ",5,Equipamentos
4/7/2022,pg pinternet packpar embalagens eireli,10.002.879,,"-R$ 573,86 "," R$ 8.252,71 ",5,Equipamentos
4/8/2022,credito ted pagseguro internet ltda,33.926.648," R$ 692,18 ",," R$ 8.944,89 ",9,Seguros
4/11/2022,prest emprest,5,,"-R$ 1.418,47 "," R$ 7.526,42 ",4,Empréstimos
4/11/2022,db allianz seguro spin de,84624000166,,"-R$ 144,05 "," R$ 7.382,37 ",9,Seguros
4/12/2022,pg pinternet akrom produtos eletronicos eir,10.004.916,,"-R$ 298,00 "," R$ 7.084,37 ",2,Despesas Diversas
4/12/2022,pg pinternet springer carrier,10.004.933,,"-R$ 29,46 "," R$ 7.054,91 ",5,Equipamentos
4/12/2022,pg pinternet junta comercial do parana,10.004.942,,"-R$ 79,20 "," R$ 6.975,71 ",2,Despesas Diversas
4/12/2022,pg pinternet ciee rescisao estag gabriel,10.004.967,,"-R$ 139,70 "," R$ 6.836,01 ",3,Educação
4/13/2022,credito ted pagseguro internet ltda,33.037.149," R$ 1.154,29 ",," R$ 7.990,30 ",9,Seguros
4/18/2022,db cotas,19.911,,"-R$ 59,50 "," R$ 7.930,80 ",2,Despesas Diversas
4/19/2022,credito ted pagseguro internet ltda,34.113.572," R$ 2.187,24 ",," R$ 10.118,04 ",9,Seguros
4/19/2022,pg pinternet das,10.003.609,,"-R$ 1.964,17 "," R$ 8.153,87 ",2,Despesas Diversas
4/19/2022,pg pinternet springer carrier,10.003.691,,"-R$ 266,94 "," R$ 7.886,93 ",5,Equipamentos
4/19/2022,pg pinternet packpar embalagens eireli,10.003.712,,"-R$ 573,86 "," R$ 7.313,07 ",5,Equipamentos
4/22/2022,db allianz seguro moto de,84624000166,,"-R$ 157,91 "," R$ 7.155,16 ",9,Seguros
4/25/2022,credito ted pagseguro internet ltda,34.540.675," R$ 1.160,70 ",," R$ 8.315,86 ",9,Seguros
4/29/2022,credito ted pagseguro internet ltda,34.283.915," R$ 768,88 ",," R$ 9.084,74 ",9,Seguros
5/3/2022,credito ted pagseguro internet ltda,34.112.145," R$ 400,98 ",," R$ 9.485,72 ",9,Seguros
5/5/2022,credito ted pagseguro internet ltda,33.517.037," R$ 337,14 ",," R$ 9.822,86 ",9,Seguros
5/9/2022,credito ted pagseguro internet ltda,34.694.196," R$ 654,94 ",," R$ 10.477,80 ",9,Seguros
5/10/2022,prest emprest,4,,"-R$ 1.418,47 "," R$ 9.059,33 ",4,Empréstimos
5/10/2022,db allianz seguro spin de,84624000166,,"-R$ 144,12 "," R$ 8.915,21 ",9,Seguros
5/10/2022,credito ted picpay,33.690.555," R$ 504,05 ",," R$ 9.419,26 ",7,Pagamentos e Créditos
5/11/2022,credito ted pagseguro internet ltda,34.249.720," R$ 403,66 ",," R$ 9.822,92 ",9,Seguros
5/12/2022,credito ted pagseguro internet ltda,33.727.837," R$ 481,81 ",," R$ 10.304,73 ",9,Seguros
5/16/2022,db cotas,19.911,,"-R$ 59,50 "," R$ 10.245,23 ",2,Despesas Diversas
5/17/2022,credito ted pagseguro internet ltda,33.794.913," R$ 1.043,81 ",," R$ 11.289,04 ",9,Seguros
5/20/2022,db allianz seguro moto de,84624000166,,"-R$ 157,91 "," R$ 11.131,13 ",9,Seguros
5/23/2022,credito ted pagseguro internet ltda,33.039.610," R$ 1.789,34 ",," R$ 12.920,47 ",9,Seguros
5/27/2022,credito ted pagseguro internet ltda,33.741.404," R$ 622,63 ",," R$ 13.543,10 ",9,Seguros
5/31/2022,credito ted pagseguro internet ltda,34.607.196," R$ 1.124,41 ",," R$ 14.667,51 ",9,Seguros
6/1/2022,credito ted pagseguro internet ltda,34.391.674," R$ 1.196,09 ",," R$ 15.863,60 ",9,Seguros
6/3/2022,credito ted pagseguro internet ltda,33.871.162," R$ 1.394,24 ",," R$ 17.257,84 ",9,Seguros
6/6/2022,credito ted pagseguro internet ltda,33.834.753," R$ 1.371,58 ",," R$ 18.629,42 ",9,Seguros
6/10/2022,prest emprest,4,,"-R$ 1.418,47 "," R$ 17.210,95 ",4,Empréstimos
6/10/2022,credito ted pagseguro internet ltda,34.062.533," R$ 623,77 ",," R$ 17.834,72 ",9,Seguros
6/13/2022,credito ted picpay,33.816.104," R$ 633,67 ",," R$ 18.468,39 ",7,Pagamentos e Créditos
6/13/2022,credito ted pagseguro internet ltda,33.862.292," R$ 781,42 ",," R$ 19.249,81 ",9,Seguros
6/15/2022,db cotas,19.911,,"-R$ 59,50 "," R$ 19.190,31 ",2,Despesas Diversas
6/15/2022,credito ted pagseguro internet ltda,33.849.917," R$ 978,44 ",," R$ 20.168,75 ",9,Seguros
6/17/2022,pg pinternet solucao certificacao digital l,10.005.060,,"-R$ 175,00 "," R$ 19.993,75 ",10,Serviços Digitais
6/17/2022,pg pinternet springer carrier,10.005.084,,"-R$ 49,74 "," R$ 19.944,01 ",5,Equipamentos
6/20/2022,db allianz seguro moto de,84624000166,,"-R$ 157,91 "," R$ 19.786,10 ",9,Seguros
6/20/2022,credito ted pagseguro internet ltda,34.278.316," R$ 489,60 ",," R$ 20.275,70 ",9,Seguros
